start	end	text
0	2000	Okay. Hi.
2000	4000	Thank you.
4000	12000	First Steve, I'm calling regarding the balance on the account and will this be the best time to talk to you?
12000	15000	Sure.
15000	17000	Thank you so much.
17000	23000	Because upon checking here, there was a quarterly service that was rendered on May 27.
23000	26000	And the amount is $127.03.
26000	31000	And also the account was also being closed the same day as well.
31000	33000	May 27 also.
33000	34000	Yeah.
34000	38000	And would you like to settle the final invoice?
38000	40000	Okay.
40000	49000	As I told the supervisor, I was unaware that you guys were coming to provide any service.
49000	54000	Nobody knocked, nobody, you know, nobody, nobody rang, nobody did anything.
54000	56000	They just provided service.
56000	60000	My understanding was that the service was already canceled.
60000	67000	So the fact that you guys came out and you provided a service and we didn't like say anything.
67000	76000	I mean, I feel bad for you because you guys used chemicals, but I don't, I don't know your money.
76000	83000	Because I have already told you several times over the last six to eight months that I want to cancel.
83000	86000	And every time I've been told no problem.
86000	88000	And then you guys keep coming out.
88000	91000	So I will not be paying you for this last service.
91000	94000	And I already told the last guy that.
94000	106000	And he actually did not respond to me letting him know that he simply closed the account.
106000	117000	So by him doing that and not actually responding that that confirmed that eco shield agreed with me.
117000	123000	So my understanding is you guys also do not believe I owe you money.
124000	125000	I totally understand.
125000	135000	And my sincere apologies seriously for what you had experienced with the service, especially that you mentioned that you have been informed by the technician or you didn't even run the doorbell.
135000	140000	That he will be providing a service from that, from that day.
140000	142000	And also for that.
142000	154000	So I will just be putting on a patient and then under the account that you don't want to settle the final invoice for the service that was rendered on May 27.
154000	156000	But I would just like to ask us.
156000	160000	Steve, did you receive like an appointment notification for months?
160000	163000	I could text an email before the service.
163000	165000	No, prior to the.
165000	174000	No, we did not. Had we received one, we would have told you to come.
174000	176000	Okay, so upon checking here.
176000	183000	So Steve, there was a set appointment to my third required quarterly service that was sent on May 21.
183000	185000	I did not receive that.
185000	187000	To text.
187000	189000	How did you send it?
189000	191000	No.
191000	194000	To text and also to an email.
194000	196000	Three days prior.
196000	199000	Starting on May 21.
199000	200000	Sure.
200000	206000	There was an appointment notification that wasn't to text.
206000	208000	I am checking.
208000	214000	I am checking my email. I do not have a text message.
214000	218000	It was sent on May 21.
218000	222000	Okay, you can tell me all the dates you want, but I do not have.
222000	229000	And if I look at the emails, I have an email that says Memorial Day closure notice.
229000	233000	I have an email saying completed service.
233000	241000	And then I have an email that says receipt for that I did not authorize.
241000	248000	So you did not receive an email and received, didn't receive any access while correct.
248000	253000	No, I have zero notifications that you were coming to me.
253000	259000	Like I said, I would have told you not to.
259000	264000	I will be adding that on rotation under your countdown.
264000	272000	Since you mentioned that you don't want to pay the balance for this one.
272000	278000	You will still receive a call from us as long as the account has a balance.
278000	283000	But I will be putting on rotation with your concern for the service.
283000	285000	It's fine.
285000	290000	And it's not, I don't want to settle a balance.
290000	302000	It's one, I shouldn't owe you because I've already canceled the fact that you guys continue to try and get more out of me is unacceptable.
302000	306000	I don't don't like being jerked around by companies.
306000	319000	That's what I feel like eco shield has done with me for the last six to eight months to when I emailed the supervisor is and let him know that this is unacceptable.
319000	325000	And I won't be paying his response was simply that he closed the account.
325000	334000	So that sounds to me as though he accepts the fact that I'm not going to pay and that the invoice has been waived.
334000	340000	If that's not the case, then that was not conveyed very well.
340000	357000	And that just goes to show that eco shield does not have very good communication skills with their customers, especially the ones that aren't happy with them to begin with.
357000	367000	I understand. So all your concerns will be noted. And also I already also saw a notation here from the local office wall regarding the cancellation.
367000	369000	Thank you.
369000	379000	But as I mentioned, sir, I cannot guarantee that you will not receive a call from us since as long as the account is still have a ransom file.
379000	388000	Alright, so we're going to take more off your time. So Steve, do you have any other concern or question regarding this or building that I can help with?
388000	391000	Nope, not at this time.
391000	396000	Alright, thank you so much for checking my call and for doing business with the shield. Have a wonderful day.
396000	397000	You too.
397000	398000	Bye.
398000	400000	Thank you.
